Train_ID,Train_Name,Source,Destination,Distance_km,Booking_Date,Departure_Time,Arrival_Time,Delay_Minutes,Ticket_Class,Ticket_Price,Passenger_Count
100,Rockfort Express,Madurai,Bangalore,591,02-02-2023,08:00,15:30,30,General,1077,251
101,Nilgiri Express,Madurai,Chennai,214,19-07-2023,13:00,22:30,17,General,768,201
102,Chennai Express,Chennai,Trichy,211,14-01-2023,20:00,12:00,27,General,359,185
103,Nilgiri Express,Madurai,Salem,483,30-04-2023,11:00,21:00,48,Sleeper,893,287
104,Rockfort Express,Chennai,Salem,484,25-11-2023,03:00,20:30,7,General,981,279
105,Nilgiri Express,Bangalore,Salem,459,10-12-2023,06:30,09:30,54,General,1105,200
106,Pandian Express,Chennai,Salem,580,26-07-2023,13:00,11:30,5,Sleeper,1341,77
107,Rockfort Express,Madurai,Bangalore,401,09-07-2023,15:00,15:00,19,General,1484,150
108,Pandian Express,Bangalore,Madurai,457,27-04-2023,00:00,17:00,25,General,1004,293
109,Nilgiri Express,Salem,Coimbatore,337,04-12-2023,17:00,12:00,33,General,720,159
110,Rockfort Express,Chennai,Salem,386,19-10-2023,17:00,16:30,31,Sleeper,1148,138
111,Kovai Express,Chennai,Bangalore,519,10-11-2023,10:30,19:00,51,AC,662,190
112,Rockfort Express,Salem,Madurai,246,10-10-2023,08:00,21:00,5,AC,1227,53
113,Coimbatore Express,Coimbatore,Madurai,256,16-11-2023,05:30,09:00,10,AC,822,185
114,Intercity Express,Madurai,Trichy,564,31-05-2023,14:30,15:30,7,AC,938,148
115,Rockfort Express,Coimbatore,Salem,296,13-05-2023,03:30,23:00,38,Sleeper,342,107
116,Pandian Express,Chennai,Salem,218,24-03-2023,14:30,17:00,40,General,1357,165
117,Intercity Express,Madurai,Bangalore,215,22-07-2023,21:30,21:30,3,General,911,82
118,Coimbatore Express,Madurai,Chennai,236,09-02-2023,09:30,23:00,26,General,816,83
119,Rockfort Express,Chennai,Bangalore,219,30-10-2023,06:30,05:00,24,AC,1010,75
120,Intercity Express,Madurai,Bangalore,421,30-10-2023,06:30,03:30,18,General,1323,54
121,Rockfort Express,Coimbatore,Bangalore,405,25-05-2023,00:00,06:30,51,General,576,136
122,Coimbatore Express,Trichy,Madurai,545,19-02-2023,12:30,21:30,49,General,780,66
123,Chennai Express,Bangalore,Chennai,268,28-03-2023,05:00,08:30,38,General,822,144
